date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:30:30	5145/5145	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2022:49:20%20GMT	http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist/sejtautomata2.png?page=print	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/logo/funkprog/8graflist/sejtautomata2d067.html	(from http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist)
01:30:30	656/656	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:22%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?node=5067&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Downloadeebf.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist)
01:30:30	5145/5145	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2022:49:20%20GMT	http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist/sejtautomata3.png?page=print	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/logo/funkprog/8graflist/sejtautomata3d067.html	(from http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist)
01:30:30	659/659	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:23%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?node=5068&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Downloadcefc.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist)
01:30:31	5117/5117	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2022:49:22%20GMT	http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist/tukrozes1.png?page=print	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/logo/funkprog/8graflist/tukrozes1d067.html	(from http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist)
01:30:31	659/659	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:23%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?node=5069&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Downloadb124.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist)
01:30:31	5117/5117	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2022:49:22%20GMT	http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist/tukrozes2.png?page=print	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/logo/funkprog/8graflist/tukrozes2d067.html	(from http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist)
01:30:31	658/658	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:24%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?node=5070&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download543e.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist)
01:30:32	5117/5117	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2022:49:23%20GMT	http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist/tukrozes3.png?page=print	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/logo/funkprog/8graflist/tukrozes3d067.html	(from http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist)
01:30:32	2790/2790	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:24%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?node=5059&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Downloadff10.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist)
